TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
GAZP,D,20150824,000000,139.0000000,139.0000000,134.1000000,135.3500000,51568300
GAZP,D,20150825,000000,135.7200000,141.0000000,135.7200000,140.4000000,44100110
GAZP,D,20150826,000000,140.2100000,141.9500000,138.5100000,140.5100000,34481810
GAZP,D,20150827,000000,141.8500000,144.8000000,141.5900000,144.6000000,32615330
GAZP,D,20150828,000000,145.3000000,147.3500000,143.0400000,146.6000000,38320160
GAZP,D,20150831,000000,145.8900000,148.1900000,145.1600000,148.1900000,28825930
GAZP,D,20150901,000000,148.1900000,148.2000000,143.7000000,144.5000000,35201510
GAZP,D,20150902,000000,144.1000000,145.5000000,142.2500000,142.5700000,33514300
GAZP,D,20150903,000000,143.6800000,145.9500000,142.7000000,145.3000000,28087010
GAZP,D,20150904,000000,144.9000000,145.1300000,142.1700000,142.8000000,25838880
GAZP,D,20150907,000000,142.5100000,143.4000000,141.3200000,141.6700000,17910740
GAZP,D,20150908,000000,142.2700000,144.3900000,142.2300000,143.2100000,22287490
GAZP,D,20150909,000000,144.3000000,145.4000000,144.1100000,144.2200000,21087450
GAZP,D,20150910,000000,143.6100000,144.7800000,142.3500000,142.9900000,24683390
GAZP,D,20150911,000000,143.2600000,143.5000000,141.2000000,142.4000000,25360800
GAZP,D,20150914,000000,142.2600000,143.8700000,142.1000000,143.5800000,20550770
GAZP,D,20150915,000000,143.5500000,143.8000000,141.4500000,141.9500000,24385460
GAZP,D,20150916,000000,142.4000000,143.1700000,141.6000000,142.9100000,27457960
GAZP,D,20150917,000000,142.9900000,143.2700000,142.3100000,142.8000000,14278750
GAZP,D,20150918,000000,143.3400000,143.4000000,139.1000000,139.5000000,44180900
GAZP,D,20150921,000000,140.1100000,140.8400000,138.8200000,139.4500000,20702670
GAZP,D,20150922,000000,139.7100000,139.7100000,135.6800000,136.4000000,36495050
GAZP,D,20150923,000000,136.4000000,136.8800000,133.3800000,134.3000000,45293240
GAZP,D,20150924,000000,134.5700000,134.7800000,131.5000000,132.2000000,37779360
GAZP,D,20150925,000000,132.6100000,134.5500000,132.5400000,133.8500000,35599560
GAZP,D,20150928,000000,134.1000000,134.2700000,130.3700000,130.9000000,30723290
GAZP,D,20150929,000000,130.6000000,134.0600000,130.3600000,133.2000000,30520020
GAZP,D,20150930,000000,133.8100000,135.7300000,132.8000000,134.5500000,43368480
GAZP,D,20151001,000000,134.6800000,135.6000000,131.5100000,132.9000000,34048410
GAZP,D,20151002,000000,132.7700000,133.1700000,131.0200000,131.5000000,26853130
GAZP,D,20151005,000000,132.4900000,136.8000000,132.2700000,136.8000000,38844980
GAZP,D,20151006,000000,136.9400000,137.9000000,135.1700000,137.8700000,38642900
GAZP,D,20151007,000000,138.0800000,140.0000000,136.7500000,140.0000000,42695320
GAZP,D,20151008,000000,139.3100000,141.1500000,138.3500000,139.8000000,41743300
GAZP,D,20151009,000000,140.6300000,145.3200000,140.6100000,143.8100000,64750430
GAZP,D,20151012,000000,143.8800000,144.9900000,140.7200000,141.7000000,29299720
GAZP,D,20151013,000000,141.0200000,141.8000000,138.8100000,141.8000000,31604030
GAZP,D,20151014,000000,141.1700000,143.3600000,140.5000000,142.0100000,25501410
GAZP,D,20151015,000000,142.3400000,144.1600000,142.2100000,142.6100000,22733980
GAZP,D,20151016,000000,143.7200000,144.1600000,140.2000000,141.0000000,28896590
GAZP,D,20151019,000000,140.8200000,141.5200000,138.6200000,140.2700000,27830910
GAZP,D,20151020,000000,140.7200000,140.7700000,138.6000000,140.4000000,28908560
GAZP,D,20151021,000000,140.2900000,140.6400000,138.2000000,139.4900000,32434520
GAZP,D,20151022,000000,139.3900000,140.1700000,138.8800000,139.2500000,24983360
GAZP,D,20151023,000000,139.7000000,140.1900000,138.5000000,138.9400000,30146610
GAZP,D,20151026,000000,139.1000000,139.9900000,136.6500000,138.5000000,32861500
GAZP,D,20151027,000000,137.3700000,138.5000000,135.6600000,138.5000000,35904460
GAZP,D,20151028,000000,138.2500000,138.3400000,135.8000000,138.1000000,36155860
GAZP,D,20151029,000000,138.2500000,138.3000000,135.5200000,136.1100000,27852820
GAZP,D,20151030,000000,136.0400000,136.6600000,135.1800000,135.7500000,23783680
GAZP,D,20151102,000000,135.4600000,137.8000000,135.1200000,137.8000000,23014600
GAZP,D,20151103,000000,137.6900000,142.0000000,137.4100000,141.7500000,38369930
GAZP,D,20151105,000000,141.8800000,142.9400000,140.4800000,140.9700000,36746220
GAZP,D,20151106,000000,140.9100000,142.3000000,137.3000000,137.7500000,34912550
GAZP,D,20151109,000000,138.0800000,138.3400000,135.7000000,136.5000000,26029040
GAZP,D,20151110,000000,136.4200000,136.9500000,135.3200000,135.5800000,27148220
GAZP,D,20151111,000000,135.8900000,136.6500000,134.6000000,135.0000000,30502590
GAZP,D,20151112,000000,135.1000000,138.8700000,134.5300000,136.6000000,50062350
GAZP,D,20151113,000000,136.4400000,137.3600000,135.7000000,136.0000000,28839490
GAZP,D,20151116,000000,136.4400000,139.2000000,135.6000000,137.2100000,35780450
GAZP,D,20151117,000000,138.2700000,143.5000000,137.8200000,142.7500000,61481020
GAZP,D,20151118,000000,142.8400000,147.9500000,141.7800000,147.4700000,51720780
GAZP,D,20151119,000000,148.1400000,149.9800000,145.1700000,147.5000000,61575170
GAZP,D,20151120,000000,146.2000000,148.9100000,144.7400000,148.0500000,30756730
GAZP,D,20151123,000000,147.8300000,152.0000000,145.8800000,152.0000000,42917610
GAZP,D,20151124,000000,151.8200000,152.8400000,144.7000000,145.6500000,60229750
GAZP,D,20151125,000000,146.0100000,147.0700000,142.2600000,143.9900000,43511250
GAZP,D,20151126,000000,144.2900000,146.2100000,141.8600000,143.2000000,31468580
GAZP,D,20151127,000000,142.9900000,143.1000000,140.6200000,140.6500000,29712390
GAZP,D,20151130,000000,140.4000000,142.4700000,138.0000000,138.0000000,39789880
GAZP,D,20151201,000000,140.0000000,140.0000000,136.8800000,137.4200000,24873380
GAZP,D,20151202,000000,137.6000000,139.4500000,136.3000000,136.8500000,28300650
GAZP,D,20151203,000000,136.5300000,140.6600000,136.5300000,140.0000000,41859050
GAZP,D,20151204,000000,140.4400000,141.6000000,137.0000000,137.7000000,37005860
GAZP,D,20151207,000000,137.7000000,138.5800000,134.3000000,134.5000000,37330020
GAZP,D,20151208,000000,134.3100000,135.5600000,133.2800000,134.6500000,35578850
GAZP,D,20151209,000000,134.9300000,136.2000000,134.4000000,135.8100000,25635980
GAZP,D,20151210,000000,135.6500000,136.8200000,135.0000000,135.6000000,25901290
GAZP,D,20151211,000000,135.2400000,135.6000000,132.5000000,133.8000000,27466750
GAZP,D,20151214,000000,133.0200000,133.1800000,130.9000000,131.5900000,34262340
GAZP,D,20151215,000000,132.2400000,134.9000000,132.1000000,134.4000000,31372280
GAZP,D,20151216,000000,134.5000000,135.1700000,133.9500000,134.5000000,20565320
GAZP,D,20151217,000000,134.6500000,138.6900000,134.6500000,137.9000000,45358050
GAZP,D,20151218,000000,137.2700000,137.3900000,132.2500000,132.2500000,38497300
GAZP,D,20151221,000000,132.2000000,133.9400000,131.0000000,131.5000000,28366260
GAZP,D,20151222,000000,132.0000000,133.5400000,131.8100000,133.2000000,19980360
GAZP,D,20151223,000000,133.5200000,135.3000000,133.3500000,135.3000000,26750860
GAZP,D,20151224,000000,135.8000000,138.0800000,134.4500000,136.0000000,36684830
GAZP,D,20151225,000000,136.4700000,136.4700000,134.0300000,134.4800000,14857980
GAZP,D,20151228,000000,134.3500000,135.4000000,133.7600000,134.9700000,11790710
GAZP,D,20151229,000000,135.2600000,137.5500000,134.7400000,137.4900000,21496980
GAZP,D,20151230,000000,137.4800000,137.4900000,135.4500000,136.0900000,17564580
GAZP,D,20160104,000000,135.8900000,136.6500000,134.4200000,134.9100000,12395710
GAZP,D,20160105,000000,134.8500000,137.2800000,134.6100000,136.4500000,14255210
GAZP,D,20160106,000000,136.3500000,136.9300000,135.3000000,135.9400000,10389120
GAZP,D,20160111,000000,132.9700000,133.6500000,131.1000000,131.3800000,33815800
GAZP,D,20160112,000000,130.5000000,135.2500000,130.1000000,133.5400000,39615850
GAZP,D,20160113,000000,134.1700000,134.4800000,131.2000000,131.3000000,30791480
GAZP,D,20160114,000000,130.9700000,131.4900000,129.0100000,130.8600000,43894870
GAZP,D,20160115,000000,130.3100000,132.4300000,125.0500000,125.1000000,62083070
GAZP,D,20160118,000000,124.8100000,126.3000000,122.7500000,124.6000000,35851240
GAZP,D,20160119,000000,125.5100000,128.4000000,125.3000000,125.9800000,36425490
GAZP,D,20160120,000000,123.6000000,125.8300000,122.8000000,125.8300000,35168480
GAZP,D,20160121,000000,126.0100000,128.0900000,125.5500000,127.7500000,34199110
GAZP,D,20160122,000000,129.9900000,132.9800000,128.3400000,132.4000000,57240280
GAZP,D,20160125,000000,133.1400000,133.1900000,130.6800000,133.0000000,30400140
GAZP,D,20160126,000000,131.0000000,132.4500000,130.3400000,131.8900000,25974890
GAZP,D,20160127,000000,132.1900000,134.0000000,131.8500000,134.0000000,28637690
GAZP,D,20160128,000000,133.8900000,136.5000000,133.1500000,136.5000000,40268690
GAZP,D,20160129,000000,137.0000000,137.2000000,133.3300000,136.6000000,41476630
GAZP,D,20160201,000000,136.1700000,136.3400000,132.8200000,133.9000000,31916470
GAZP,D,20160202,000000,133.0900000,135.2800000,132.0900000,132.5000000,36220630
GAZP,D,20160203,000000,131.8800000,133.0000000,130.9100000,131.0100000,30488970
GAZP,D,20160204,000000,133.1600000,135.2500000,132.6200000,135.0400000,37821010
